Prompt,Response
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Gender Variant/Non-conforming
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Gender Variant/Non-conforming
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Gender Variant/Non-conforming
Q.gender,Male
Q.gender,Male
Q.gender,Gender Variant/Non-conforming
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Gender Variant/Non-conforming
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Male
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Male
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.gender,Female
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Hispanic']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Hispanic']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Hispanic']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Other (please specify):']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Asian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,"['White or Caucasian', 'Black or African American', 'Hispanic', 'Other (please specify):']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Asian']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['American Indian or Alaska Native']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,['Hispanic']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American', 'Other (please specify):']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['Black or African American', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Asian']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['Black or African American', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['White or Caucasian', 'Black or African American']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Asian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,"['Black or African American', 'Hispanic']"
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Asian']
Q.ethnicity,['Asian']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['Black or African American']
Q.ethnicity,['White or Caucasian']
Q.ethnicity,['White or Caucasian']
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Chromecast', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Chromecast', 'Apple TV', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Firestick', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,['Smartphone']
What do you use to stream TV shows or movies? Select all that apply.,"['Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Chromecast', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Firestick', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Chromecast', 'Apple TV', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Firestick', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,['Roku']
What do you use to stream TV shows or movies? Select all that apply.,"['Gaming console', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,['Smartphone']
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Gaming console']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Chromecast', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console']"
What do you use to stream TV shows or movies? Select all that apply.,['Roku']
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,['Smartphone']
What do you use to stream TV shows or movies? Select all that apply.,"['Apple TV', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,['Smartphone']
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Other (please specify)']"
What do you use to stream TV shows or movies? Select all that apply.,['Gaming console']
What do you use to stream TV shows or movies? Select all that apply.,"['Firestick', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Firestick', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Apple TV', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,['Roku']
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Chromecast', 'Apple TV', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,['Chromecast']
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Chromecast', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Apple TV', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Apple TV', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Gaming console', 'Smartphone']"
What do you use to stream TV shows or movies? Select all that apply.,"['Smart TV', 'Roku ', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']"
What do you use to stream TV shows or movies? Select all that apply.,"['Roku ', 'Firestick', 'Smartphone', 'Tablet', 'Laptop']"
